NAME,median_gross_rent,median_hh_income,population,rent_burden_30_34pct,rent_burden_35_39pct,rent_burden_40_49pct,rent_burden_50plus_pct,total_occupied_units,owner_occupied_units,state,place,city,year,renter_occupied_units,cost_burdened_count,cost_burden_rate
"Madison city, Wisconsin",939,54896,243122,4350,3429,4441,15767,104087,49793,55,48000,"Madison, WI",2015,54294,27987,0.5154713227980993
"Madison city, Wisconsin",959,56464,246034,4590,3592,4610,15301,105789,50404,55,48000,"Madison, WI",2016,55385,28093,0.5072311997833349
"Madison city, Wisconsin",1008,59387,248856,4482,3546,4499,15557,107890,51390,55,48000,"Madison, WI",2017,56500,28084,0.49706194690265487
"Madison city, Wisconsin",1068,62906,252086,4621,3502,4690,15188,108573,51130,55,48000,"Madison, WI",2018,57443,28001,0.487457131417231
"Madison city, Wisconsin",1118,65332,254977,4695,3553,5024,14887,110294,51845,55,48000,"Madison, WI",2019,58449,28159,0.48177043234272615
"Madison city, Wisconsin",1147,67565,258366,4628,3433,4977,14399,111832,53333,55,48000,"Madison, WI",2020,58499,27437,0.469016564385716
"Madison city, Wisconsin",1212,70466,265447,4777,3413,4846,15050,117324,55856,55,48000,"Madison, WI",2021,61468,28086,0.45692067417192683
"Madison city, Wisconsin",1291,74895,268516,5176,3367,4894,16255,120509,56660,55,48000,"Madison, WI",2022,63849,29692,0.46503469122460805
"Madison city, Wisconsin",1364,76983,275568,5693,4052,4819,16842,125787,58668,55,48000,"Madison, WI",2023,67119,31406,0.46791519539921633
"Austin city, Texas",1047,57689,887061,17086,12521,16934,46059,351195,157382,48,05000,"Austin, TX",2015,193813,92600,0.4777801282679696
"Austin city, Texas",1106,60939,907779,16941,12698,17735,45279,358401,162271,48,05000,"Austin, TX",2016,196130,92653,0.47240605720695455
"Austin city, Texas",1165,63717,916906,17747,12599,17869,44269,361257,163486,48,05000,"Austin, TX",2017,197771,92484,0.46763175591972533
"Austin city, Texas",1225,67462,935755,18686,13037,17874,44625,370043,167206,48,05000,"Austin, TX",2018,202837,94222,0.46452077283730286
"Austin city, Texas",1280,71576,950807,19250,13320,17257,45073,380392,171685,48,05000,"Austin, TX",2019,208707,94900,0.4547044421126268
"Austin city, Texas",1346,75752,965872,19312,13158,18160,45338,395280,179897,48,05000,"Austin, TX",2020,215383,95968,0.44556905605363467
"Austin city, Texas",1415,78965,944658,20017,14253,18233,48125,404121,180557,48,05000,"Austin, TX",2021,223564,100628,0.45010824640818736
"Austin city, Texas",1549,86556,958202,20970,15911,19058,51263,423079,188029,48,05000,"Austin, TX",2022,235050,107202,0.456081684747926
"Austin city, Texas",1655,91461,967862,21764,16958,19818,53901,440294,195678,48,05000,"Austin, TX",2023,244616,112441,0.45966330902312197
