city,year,permit_class,units_permitted,population,units_per_100k
"Austin, TX",2010.0,MF_large,606,,
"Austin, TX",2010.0,MF_small,372,,
"Austin, TX",2010.0,SF,2546,,
"Austin, TX",2011.0,MF_large,5500,,
"Austin, TX",2011.0,MF_small,236,,
"Austin, TX",2011.0,SF,2581,,
"Austin, TX",2012.0,MF_large,5879,,
"Austin, TX",2012.0,MF_small,302,,
"Austin, TX",2012.0,SF,3364,,
"Austin, TX",2013.0,MF_large,8033,,
"Austin, TX",2013.0,MF_small,468,,
"Austin, TX",2013.0,SF,3419,,
"Austin, TX",2014.0,MF_large,7626,,
"Austin, TX",2014.0,MF_small,411,,
"Austin, TX",2014.0,SF,3552,,
"Austin, TX",2015.0,MF_large,7618,887061.0,858.7909963350886
"Austin, TX",2015.0,MF_small,406,887061.0,45.76911847099579
"Austin, TX",2015.0,SF,3703,887061.0,417.445925364772
"Austin, TX",2016.0,MF_large,6453,907779.0,710.8558360570139
"Austin, TX",2016.0,MF_small,343,907779.0,37.78452685069824
"Austin, TX",2016.0,SF,4398,907779.0,484.479151864055
"Austin, TX",2017.0,MF_large,7195,916906.0,784.7042117730716
"Austin, TX",2017.0,MF_small,406,916906.0,44.27934815564518
"Austin, TX",2017.0,SF,5000,916906.0,545.3121694044974
"Austin, TX",2018.0,MF_large,10684,935755.0,1141.7518474386993
"Austin, TX",2018.0,MF_small,516,935755.0,55.14263883174549
"Austin, TX",2018.0,SF,4869,935755.0,520.3285047902496
"Austin, TX",2019.0,MF_large,13664,950807.0,1437.0950150766664
"Austin, TX",2019.0,MF_small,602,950807.0,63.31463693473018
"Austin, TX",2019.0,SF,5440,950807.0,572.1455563537079
"Austin, TX",2020.0,MF_large,14532,965872.0,1504.5471863766627
"Austin, TX",2020.0,MF_small,393,965872.0,40.68862126658605
"Austin, TX",2020.0,SF,5603,965872.0,580.0975698643299
"Austin, TX",2021.0,MF_large,15096,944658.0,1598.0386552593636
"Austin, TX",2021.0,MF_small,379,944658.0,40.120339847860286
"Austin, TX",2021.0,SF,5602,944658.0,593.0188491496393
"Austin, TX",2022.0,MF_large,19153,958202.0,1998.8478421042746
"Austin, TX",2022.0,MF_small,383,958202.0,39.97069511439133
"Austin, TX",2022.0,SF,4720,958202.0,492.589245273961
"Austin, TX",2023.0,MF_large,16852,967862.0,1741.1573137492742
"Austin, TX",2023.0,MF_small,349,967862.0,36.058859630815135
"Austin, TX",2023.0,SF,3158,967862.0,326.28618542726133
"Austin, TX",2024.0,MF_large,8680,,
"Austin, TX",2024.0,MF_small,215,,
"Austin, TX",2024.0,SF,3164,,
"Austin, TX",2025.0,MF_large,7104,,
"Austin, TX",2025.0,MF_small,488,,
"Austin, TX",2025.0,SF,3278,,
"Madison, WI",2010.0,MF_large,346,,
"Madison, WI",2010.0,MF_small,6,,
"Madison, WI",2010.0,SF,1040,,
"Madison, WI",2011.0,MF_large,781,,
"Madison, WI",2011.0,MF_small,20,,
"Madison, WI",2011.0,SF,1017,,
"Madison, WI",2012.0,MF_large,2615,,
"Madison, WI",2012.0,MF_small,43,,
"Madison, WI",2012.0,SF,1428,,
"Madison, WI",2013.0,MF_large,1865,,
"Madison, WI",2013.0,MF_small,10,,
"Madison, WI",2013.0,SF,1685,,
"Madison, WI",2014.0,MF_large,1063,,
"Madison, WI",2014.0,MF_small,30,,
"Madison, WI",2014.0,SF,901,,
"Madison, WI",2015.0,MF_large,1558,243122.0,640.8305295283849
"Madison, WI",2015.0,MF_small,17,243122.0,6.992374198961838
"Madison, WI",2015.0,SF,749,243122.0,308.0757808836716
"Madison, WI",2016.0,MF_large,997,246034.0,405.2285456481624
"Madison, WI",2016.0,MF_small,12,246034.0,4.877374671793329
"Madison, WI",2016.0,SF,813,246034.0,330.44213401399804
"Madison, WI",2017.0,MF_large,744,248856.0,298.96807792458293
"Madison, WI",2017.0,MF_small,21,248856.0,8.438615102710001
"Madison, WI",2017.0,SF,797,248856.0,320.26553508856523
"Madison, WI",2018.0,MF_large,20,252086.0,7.933800369715097
"Madison, WI",2018.0,MF_small,6,252086.0,2.380140110914529
"Madison, WI",2018.0,SF,749,252086.0,297.1208238458304
"Madison, WI",2019.0,MF_large,1680,254977.0,658.8829580707279
"Madison, WI",2019.0,MF_small,26,254977.0,10.196998160618408
"Madison, WI",2019.0,SF,420,254977.0,164.72073951768198
"Madison, WI",2020.0,MF_small,2,258366.0,0.7740956627420017
"Madison, WI",2020.0,SF,772,258366.0,298.8009258184126
"Madison, WI",2021.0,MF_small,4,265447.0,1.50689214796174
"Madison, WI",2021.0,SF,951,265447.0,358.2636081779037
"Madison, WI",2022.0,MF_small,6,268516.0,2.2345037167245154
"Madison, WI",2022.0,SF,1415,268516.0,526.9704598608649
"Madison, WI",2023.0,MF_large,73,275568.0,26.490739127910352
"Madison, WI",2023.0,MF_small,27,275568.0,9.797944608953143
"Madison, WI",2023.0,SF,1569,275568.0,569.3694478313882
"Madison, WI",2024.0,MF_large,99,,
"Madison, WI",2024.0,MF_small,20,,
"Madison, WI",2024.0,SF,1480,,
"Madison, WI",2025.0,SF,1347,,
