city,year,units_permitted,population,units_per_100k
"Austin, TX",2015.0,11727,887061.0,1322.0060401708563
"Austin, TX",2016.0,11194,907779.0,1233.1195147717672
"Austin, TX",2017.0,12685,916906.0,1383.4569737792096
"Austin, TX",2018.0,16069,935755.0,1717.2229910606945
"Austin, TX",2019.0,19706,950807.0,2072.5552083651046
"Austin, TX",2020.0,20528,965872.0,2125.333377507579
"Austin, TX",2021.0,21077,944658.0,2231.1778442568634
"Austin, TX",2022.0,24256,958202.0,2531.4077824926267
"Austin, TX",2023.0,20359,967862.0,2103.5023588073504
"Madison, WI",2015.0,2324,243122.0,955.8986846110184
"Madison, WI",2016.0,1822,246034.0,740.5480543339538
"Madison, WI",2017.0,1562,248856.0,627.6722281158582
"Madison, WI",2018.0,775,252086.0,307.43476432646
"Madison, WI",2019.0,2126,254977.0,833.8006957490284
"Madison, WI",2020.0,774,258366.0,299.57502148115464
"Madison, WI",2021.0,955,265447.0,359.77050032586544
"Madison, WI",2022.0,1421,268516.0,529.2049635775894
"Madison, WI",2023.0,1669,275568.0,605.6581315682517
