city,year,permit_class,units_permitted
"Austin, TX",2010.0,MF_large,606
"Austin, TX",2010.0,MF_small,372
"Austin, TX",2010.0,SF,2546
"Austin, TX",2011.0,MF_large,5500
"Austin, TX",2011.0,MF_small,236
"Austin, TX",2011.0,SF,2581
"Austin, TX",2012.0,MF_large,5879
"Austin, TX",2012.0,MF_small,302
"Austin, TX",2012.0,SF,3364
"Austin, TX",2013.0,MF_large,8033
"Austin, TX",2013.0,MF_small,468
"Austin, TX",2013.0,SF,3419
"Austin, TX",2014.0,MF_large,7626
"Austin, TX",2014.0,MF_small,411
"Austin, TX",2014.0,SF,3552
"Austin, TX",2015.0,MF_large,7618
"Austin, TX",2015.0,MF_small,406
"Austin, TX",2015.0,SF,3703
"Austin, TX",2016.0,MF_large,6453
"Austin, TX",2016.0,MF_small,343
"Austin, TX",2016.0,SF,4398
"Austin, TX",2017.0,MF_large,7255
"Austin, TX",2017.0,MF_small,406
"Austin, TX",2017.0,SF,5108
"Austin, TX",2018.0,MF_large,10684
"Austin, TX",2018.0,MF_small,516
"Austin, TX",2018.0,SF,4869
"Austin, TX",2019.0,MF_large,13664
"Austin, TX",2019.0,MF_small,602
"Austin, TX",2019.0,SF,5440
"Austin, TX",2020.0,MF_large,14532
"Austin, TX",2020.0,MF_small,393
"Austin, TX",2020.0,SF,5603
"Austin, TX",2021.0,MF_large,15096
"Austin, TX",2021.0,MF_small,379
"Austin, TX",2021.0,SF,5602
"Austin, TX",2022.0,MF_large,19153
"Austin, TX",2022.0,MF_small,383
"Austin, TX",2022.0,SF,4720
"Austin, TX",2023.0,MF_large,16852
"Austin, TX",2023.0,MF_small,349
"Austin, TX",2023.0,SF,3158
"Austin, TX",2024.0,MF_large,8680
"Austin, TX",2024.0,MF_small,215
"Austin, TX",2024.0,SF,3164
"Austin, TX",2025.0,MF_large,7104
"Austin, TX",2025.0,MF_small,488
"Austin, TX",2025.0,SF,3278
"Madison, WI",2010.0,MF_large,346
"Madison, WI",2010.0,MF_small,6
"Madison, WI",2010.0,SF,1040
"Madison, WI",2011.0,MF_large,781
"Madison, WI",2011.0,MF_small,20
"Madison, WI",2011.0,SF,1017
"Madison, WI",2012.0,MF_large,2615
"Madison, WI",2012.0,MF_small,43
"Madison, WI",2012.0,SF,1428
"Madison, WI",2013.0,MF_large,1865
"Madison, WI",2013.0,MF_small,10
"Madison, WI",2013.0,SF,1685
"Madison, WI",2014.0,MF_large,1063
"Madison, WI",2014.0,MF_small,30
"Madison, WI",2014.0,SF,901
"Madison, WI",2015.0,MF_large,1558
"Madison, WI",2015.0,MF_small,17
"Madison, WI",2015.0,SF,749
"Madison, WI",2016.0,MF_large,997
"Madison, WI",2016.0,MF_small,12
"Madison, WI",2016.0,SF,813
"Madison, WI",2017.0,MF_large,744
"Madison, WI",2017.0,MF_small,21
"Madison, WI",2017.0,SF,797
"Madison, WI",2018.0,MF_large,20
"Madison, WI",2018.0,MF_small,6
"Madison, WI",2018.0,SF,749
"Madison, WI",2019.0,MF_large,1680
"Madison, WI",2019.0,MF_small,26
"Madison, WI",2019.0,SF,420
"Madison, WI",2020.0,MF_small,2
"Madison, WI",2020.0,SF,772
"Madison, WI",2021.0,MF_small,4
"Madison, WI",2021.0,SF,951
"Madison, WI",2022.0,MF_small,6
"Madison, WI",2022.0,SF,1415
"Madison, WI",2023.0,MF_large,73
"Madison, WI",2023.0,MF_small,27
"Madison, WI",2023.0,SF,1569
"Madison, WI",2024.0,MF_large,99
"Madison, WI",2024.0,MF_small,20
"Madison, WI",2024.0,SF,1480
"Madison, WI",2025.0,SF,1347
