city,year,units_permitted,population,units_per_100k
"Austin, TX",2010.0,3524.0,,
"Austin, TX",2011.0,8317.0,,
"Austin, TX",2012.0,9545.0,,
"Austin, TX",2013.0,11920.0,,
"Austin, TX",2014.0,11589.0,,
"Austin, TX",2015.0,11727.0,887061.0,1322.0060401708563
"Austin, TX",2016.0,11194.0,907779.0,1233.1195147717672
"Austin, TX",2017.0,12601.0,916906.0,1374.2957293332142
"Austin, TX",2018.0,16069.0,935755.0,1717.2229910606945
"Austin, TX",2019.0,19706.0,950807.0,2072.5552083651046
"Austin, TX",2020.0,20528.0,965872.0,2125.333377507579
"Austin, TX",2021.0,21077.0,944658.0,2231.1778442568634
"Austin, TX",2022.0,24256.0,958202.0,2531.4077824926267
"Austin, TX",2023.0,20359.0,967862.0,2103.5023588073504
"Austin, TX",2024.0,12059.0,,
"Austin, TX",2025.0,10870.0,,
"Madison, WI",2010.0,1392.0,,
"Madison, WI",2011.0,1818.0,,
"Madison, WI",2012.0,4086.0,,
"Madison, WI",2013.0,3560.0,,
"Madison, WI",2014.0,1994.0,,
"Madison, WI",2015.0,2324.0,243122.0,955.8986846110184
"Madison, WI",2016.0,1822.0,246034.0,740.5480543339538
"Madison, WI",2017.0,1562.0,248856.0,627.6722281158582
"Madison, WI",2018.0,775.0,252086.0,307.43476432646
"Madison, WI",2019.0,2126.0,254977.0,833.8006957490284
"Madison, WI",2020.0,774.0,258366.0,299.57502148115464
"Madison, WI",2021.0,955.0,265447.0,359.77050032586544
"Madison, WI",2022.0,1421.0,268516.0,529.2049635775894
"Madison, WI",2023.0,1669.0,275568.0,605.6581315682517
"Madison, WI",2024.0,1599.0,,
"Madison, WI",2025.0,1347.0,,
"Austin, TX (PEW 2021-23)",2022.0,,,957.0
San Antonio (PEW 2021-23),2022.0,,,346.0
