city,year,income_threshold,White_NonHisp__renter_total,White_NonHisp__burden_rate,Black_AA__renter_total,Black_AA__burden_rate,Hispanic__renter_total,Hispanic__burden_rate,Asian__renter_total,Asian__burden_rate
"Madison, WI",2015,37560.0,39275,0.6534435849614226,4996,0.7448534943177586,3728,0.7425665390588847,4685,0.6718588541614405
"Madison, WI",2016,38360.0,40100,0.6505771528370512,5229,0.7270959642301381,3639,0.6942731772515537,4752,0.6596740223465568
"Madison, WI",2017,40320.0,40927,0.653309541376597,4735,0.7568818093080073,3671,0.6820623727033611,5347,0.6362047797627601
"Madison, WI",2018,42720.0,40998,0.6400494792358149,5147,0.7511881237720247,3502,0.7198150081186997,5858,0.5955125815193766
"Madison, WI",2019,44720.0,41384,0.6427022839325259,5517,0.75938062363243,3644,0.6750008618628227,6102,0.5896786699194968
"Madison, WI",2020,45880.0,41335,0.6468136399748802,5646,0.7640676558974565,3380,0.6320327379085284,6188,0.5970249641395635
"Madison, WI",2021,48480.0,43284,0.6574600568390178,5788,0.765772090147124,3792,0.6231763230283187,6416,0.6005662167346187
"Madison, WI",2022,51640.0,44593,0.6535093533572405,6177,0.7601570744738388,4151,0.5972137083619228,6457,0.6155721968356043
"Madison, WI",2023,54560.0,46362,0.6768289162292701,5818,0.7769437823809882,5370,0.6615592285485532,6434,0.663955671289852
"Austin, TX",2015,41880.0,98859,0.5949142326467499,18057,0.8232365972557639,59696,0.7624993740372303,12778,0.5527425723053516
"Austin, TX",2016,44240.0,100486,0.6091753489921359,18258,0.8113401626540666,60268,0.7659599584349073,12911,0.5424139122611913
"Austin, TX",2017,46600.0,99377,0.6002610023197068,19071,0.8006652035666427,61867,0.7560454822954181,13131,0.5364951902877719
"Austin, TX",2018,49000.0,101198,0.590407844212373,20007,0.8023007010558907,62907,0.7508064284737661,14010,0.5217490607329175
"Austin, TX",2019,51200.0,103197,0.5813148191763273,20661,0.7631551306720624,64996,0.7400084552734921,14783,0.5283592689919063
"Austin, TX",2020,53840.0,106590,0.6020509593880863,20786,0.7667189936543929,65974,0.718192838170045,15456,0.5422817708789512
"Austin, TX",2021,56600.0,108261,0.5961920408517699,21742,0.7927880912458829,69094,0.7228615037380081,16941,0.5348132121517446
"Austin, TX",2022,61960.0,112433,0.6091782090866454,23618,0.7564152313628993,71672,0.7295667452726934,18685,0.5176254386988568
"Austin, TX",2023,66200.0,117140,0.6222534845900545,25488,0.7472976279607173,72532,0.7337185546372221,19985,0.4923004040482859
