city,year,units_permitted,mf_units,mf_share
"Austin, TX",2015.0,11727,7618.0,0.6496120064807709
"Austin, TX",2016.0,11194,6453.0,0.5764695372520994
"Austin, TX",2017.0,12685,7225.0,0.5695703586913677
"Austin, TX",2018.0,16069,10684.0,0.6648826933847781
"Austin, TX",2019.0,19706,13664.0,0.6933928752664164
"Austin, TX",2020.0,20528,14532.0,0.7079111457521434
"Austin, TX",2021.0,21077,15096.0,0.7162309626607202
"Austin, TX",2022.0,24256,19153.0,0.7896190633245382
"Austin, TX",2023.0,20359,16852.0,0.8277420305515988
"Madison, WI",2015.0,2324,1558.0,0.6703958691910499
"Madison, WI",2016.0,1822,997.0,0.5472008781558727
"Madison, WI",2017.0,1562,744.0,0.47631241997439183
"Madison, WI",2018.0,775,20.0,0.025806451612903226
"Madison, WI",2019.0,2126,1680.0,0.7902163687676388
"Madison, WI",2020.0,774,0.0,0.0
"Madison, WI",2021.0,955,0.0,0.0
"Madison, WI",2022.0,1421,0.0,0.0
"Madison, WI",2023.0,1669,73.0,0.04373876572798083
